city,county,state,project,Farm,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe,ID,MAPPING_UN,GEOLOGY,SLOPE,ECOLOGICAL,DRAINAGE,SOIL_PH,PH_DESCRIP,SUITABILIT,SOIL_TEXTU,SOIL_CLASS,VEGETATION,DISTRIBUTI,SOIL_CLA_1,PERCENTAGE,MAJOR_CROP,Depth_2
Gobirawa,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.86263,0.053308,0.51212,2.03671,241.332,77.2829,105.307,11.5599,1.25566,0.794181,68.1191,123.611,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Yanoko,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.98608,0.04265,0.469839,3.45053,177.717,86.4041,78.9033,10.1758,1.05845,0.785009,83.271,110.925,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Gobirawa,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.8834,0.03702,0.448013,3.33359,446.264,92.0042,49.0564,11.1975,1.37783,0.862144,72.9129,140.848,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Jajaye,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",5.59314,0.029721,0.511603,1.62821,163.986,71.4985,45.432,8.32286,0.843653,0.762559,64.1927,139.126,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Jajaye,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.11472,0.034204,0.423741,2.70416,251.803,71.1161,66.8284,8.29369,0.785535,0.876885,74.7651,97.0164,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Jajaye,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.28397,0.042475,0.425035,3.9874,449.817,92.8568,39.8503,12.2789,0.980901,0.971773,106.097,102.845,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Jajaye,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.32332,0.05045,0.61603,2.12577,274.527,116.872,119.949,12.9885,1.41771,0.829563,62.1122,127.076,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Gobirawa,Rogo,Kano State,OCP fertilizer,Mukhtar,20-40 cm,"2",6.39926,0.051043,0.51877,3.12833,347.203,110.372,83.9697,10.2788,0.970273,1.73132,134.992,99.1502,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Idi,Kafur,Katsina State,OCP fertilizer,KT 73,20-40 cm,"2",5.8378,0.026316,0.324861,3.13156,122.749,49.2719,29.5723,10.6212,0.957835,0.452357,58.562,97.7737,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Idi,Kafur,Katsina State,OCP fertilizer,KT 68,20-40 cm,"2",5.79607,0.039705,0.432057,1.78371,203.945,135.439,63.3249,17.3043,0.759107,0.899851,64.714,109.917,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Alhaji,Kafur,Katsina State,OCP fertilizer,KT 75,20-40 cm,"2",6.16166,0.017208,0.2731,3.67524,211.766,69.2272,54.8218,12.7969,0.796688,0.628918,66.8155,83.5762,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Alhaji,Kafur,Katsina State,OCP fertilizer,KT 77,20-40 cm,"2",5.82889,0.023382,0.301403,2.34274,217.718,60.3427,48.337,9.90628,0.68809,0.457262,80.8051,112.92,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Alhaji,Kafur,Katsina State,OCP fertilizer,KT 71,20-40 cm,"2",5.84699,0.035284,0.460524,1.77501,267.657,103.893,81.6738,10.3156,1.34914,1.30969,97.3491,113.683,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Dandada,Kafur,Katsina State,OCP fertilizer,KT 30,20-40 cm,"2",5.53124,0.042433,0.67325,2.53648,207.514,95.3381,100.864,12.508,1.19963,1.08526,134.2,125.694,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Dandada,Kafur,Katsina State,OCP fertilizer,KT 28,20-40 cm,"2",5.97208,0.051636,0.670694,6.64739,309.425,97.3369,50.4227,9.90579,1.2249,1.38991,122.295,184.131,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Dandada,Kafur,Katsina State,OCP fertilizer,KT 25,20-40 cm,"2",6.09754,0.030052,0.559189,3.92948,238.08,84.3844,78.0715,11.048,1.00991,1.43924,72.4036,90.8651,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Dandada,Kafur,Katsina State,OCP fertilizer,KT 22,20-40 cm,"2",5.93432,0.045648,0.687506,1.44796,355.036,104.908,55.3508,13.8878,0.908895,1.76325,94.1928,97.726,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Ungwan Dandada,Kafur,Katsina State,OCP fertilizer,KT 24,20-40 cm,"2",6.30944,0.037463,0.642412,2.04408,262.186,97.1528,60.5714,10.7551,0.915385,1.5023,99.3433,75.5302,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Dan Rimi,Kafur,Katsina State,OCP fertilizer,KT 29,20-40 cm,"2",5.81636,0.048997,0.537188,2.13,379.834,84.2899,78.755,10.3322,1.09758,1.60842,122.242,114.97,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Dan Rimi,Kafur,Katsina State,OCP fertilizer,KT 26,20-40 cm,"2",6.11957,0.039786,0.585581,1.77508,338.783,103.652,54.4418,13.1471,0.776957,1.32721,61.4164,108.317,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Dan Rimi,Kafur,Katsina State,OCP fertilizer,KT 23,20-40 cm,"2",6.02933,0.03912,0.501548,2.87237,290.656,129.975,49.3584,10.0171,1.15232,1.75065,139.113,91.8826,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Dan Rimi,Kafur,Katsina State,OCP fertilizer,KT 21,20-40 cm,"2",5.89577,0.027491,0.395948,1.03888,194.674,102.229,103.149,20.3523,0.805777,1.94451,121.196,92.6678,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Dan Rimi,Kafur,Katsina State,OCP fertilizer,KT 27,20-40 cm,"2",6.44678,0.037448,0.32766,2.26617,464.326,127.476,97.5064,14.6272,1.10933,1.61908,101.22,117.507,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Sabuwar Kasa,Kafur,Katsina State,OCP fertilizer,KT 6,20-40 cm,"2",5.89072,0.022615,0.354955,3.30572,189.135,71.5827,53.6655,11.2251,0.596344,0.576118,71.7183,96.5247,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
Dutsen Kura,Kafur,Katsina State,OCP fertilizer,KT 8,20-40 cm,"2",5.35664,0.044125,0.826456,3.01348,265.862,79.2701,59.4617,12.1569,1.05973,1.06024,71.8962,131.54,"49",16b,Undifferentiated Basement Complex,0 - 2%,Savannah Soils,Well Drained,5.6 - 5.8,Moderately Acidic,Fairly Higly Suitable with few physical limitation,Sandy Loam,Aquic Haplustalf,"Sugarcane, Vegetables","2,655.61",Gleyic Luvisol,"0.29","Sorghum,Cotton,Groundnut,Millet,Sugarcane,Maize","Deep, Mostly Deep"
