,index,state,temperature,mean_humidity,mean_rainfall,pH,N,OC,P,K,Na,MAJOR_CROP,avg_depth
18,18,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,7,30.0
19,19,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,8,30.0
20,20,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,9,30.0
21,21,0,27.48,35.973,11.306000000000001,6.40929,0.059607,0.753579,7.53341,97.4552,17.5533,10,30.0
22,22,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,0,10.0
23,23,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,1,10.0
24,24,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,2,10.0
25,25,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,3,10.0
26,26,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,4,10.0
27,27,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,5,10.0
28,28,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,6,10.0
29,29,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,7,10.0
30,30,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,8,10.0
31,31,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,9,10.0
32,32,0,27.48,35.973,11.306000000000001,6.16546,0.051261,0.934983,7.37076,92.1612,12.168,10,10.0
33,33,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,0,10.0
34,34,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,1,10.0
35,35,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,2,10.0
36,36,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,3,10.0
37,37,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,4,10.0
38,38,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,5,10.0
39,39,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,6,10.0
40,40,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,7,10.0
41,41,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,8,10.0
42,42,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,9,10.0
43,43,0,27.48,35.973,11.306000000000001,5.85875,0.149079,1.54355,10.3367,100.425,11.7062,10,10.0
44,44,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,0,10.0
45,45,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,1,10.0
46,46,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,2,10.0
47,47,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,3,10.0
48,48,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,4,10.0
49,49,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,5,10.0
50,50,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,6,10.0
51,51,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,7,10.0
52,52,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,8,10.0
53,53,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,9,10.0
54,54,0,27.48,35.973,11.306000000000001,6.17769,0.155088,2.09783,5.06852,113.926,12.757,10,10.0
55,55,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,0,10.0
56,56,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,1,10.0
57,57,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,2,10.0
58,58,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,3,10.0
59,59,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,4,10.0
60,60,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,5,10.0
61,61,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,6,10.0
62,62,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,7,10.0
63,63,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,8,10.0
64,64,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,9,10.0
65,65,0,27.48,35.973,11.306000000000001,6.00605,0.153446,1.77246,8.27453,99.9084,15.1337,10,10.0
66,66,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,0,10.0
67,67,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,1,10.0
68,68,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,2,10.0
69,69,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,3,10.0
70,70,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,4,10.0
71,71,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,5,10.0
72,72,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,6,10.0
73,73,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,7,10.0
74,74,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,8,10.0
75,75,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,9,10.0
76,76,0,27.48,35.973,11.306000000000001,6.51944,0.085063,1.05551,6.57978,102.174,12.8866,10,10.0
77,77,1,26.630000000000003,36.412,11.5975,6.27,0.04,0.57,1.97,54.74,29.74,6,30.0
78,78,1,26.630000000000003,36.412,11.5975,6.27,0.04,0.57,1.97,54.74,29.74,11,30.0
79,79,1,26.630000000000003,36.412,11.5975,6.27,0.04,0.57,1.97,54.74,29.74,12,30.0
80,80,1,26.630000000000003,36.412,11.5975,6.27,0.04,0.57,1.97,54.74,29.74,13,30.0
81,81,1,26.630000000000003,36.412,11.5975,6.27,0.04,0.57,1.97,54.74,29.74,14,30.0
82,82,1,26.630000000000003,36.412,11.5975,6.27,0.04,0.57,1.97,54.74,29.74,8,30.0
83,83,1,26.630000000000003,36.412,11.5975,6.13,0.03,0.35,5.26,61.41,13.17,6,30.0
84,84,1,26.630000000000003,36.412,11.5975,6.13,0.03,0.35,5.26,61.41,13.17,11,30.0
85,85,1,26.630000000000003,36.412,11.5975,6.13,0.03,0.35,5.26,61.41,13.17,12,30.0
86,86,1,26.630000000000003,36.412,11.5975,6.13,0.03,0.35,5.26,61.41,13.17,13,30.0
87,87,1,26.630000000000003,36.412,11.5975,6.13,0.03,0.35,5.26,61.41,13.17,14,30.0
88,88,1,26.630000000000003,36.412,11.5975,6.13,0.03,0.35,5.26,61.41,13.17,8,30.0
89,89,1,26.630000000000003,36.412,11.5975,6.73,0.07,0.83,8.62,138.91,15.62,6,30.0
90,90,1,26.630000000000003,36.412,11.5975,6.73,0.07,0.83,8.62,138.91,15.62,11,30.0
91,91,1,26.630000000000003,36.412,11.5975,6.73,0.07,0.83,8.62,138.91,15.62,12,30.0
92,92,1,26.630000000000003,36.412,11.5975,6.73,0.07,0.83,8.62,138.91,15.62,13,30.0
93,93,1,26.630000000000003,36.412,11.5975,6.73,0.07,0.83,8.62,138.91,15.62,14,30.0
94,94,1,26.630000000000003,36.412,11.5975,6.73,0.07,0.83,8.62,138.91,15.62,8,30.0
95,95,1,26.630000000000003,36.412,11.5975,5.60539,0.041957,0.317277,5.32044,26.502,12.3742,6,30.0
96,96,1,26.630000000000003,36.412,11.5975,5.60539,0.041957,0.317277,5.32044,26.502,12.3742,11,30.0
97,97,1,26.630000000000003,36.412,11.5975,5.60539,0.041957,0.317277,5.32044,26.502,12.3742,12,30.0
98,98,1,26.630000000000003,36.412,11.5975,5.60539,0.041957,0.317277,5.32044,26.502,12.3742,13,30.0
99,99,1,26.630000000000003,36.412,11.5975,5.60539,0.041957,0.317277,5.32044,26.502,12.3742,14,30.0
100,100,1,26.630000000000003,36.412,11.5975,5.60539,0.041957,0.317277,5.32044,26.502,12.3742,8,30.0
101,101,1,26.630000000000003,36.412,11.5975,5.76,0.04,0.53,4.27,67.41,25.05,6,30.0
102,102,1,26.630000000000003,36.412,11.5975,5.76,0.04,0.53,4.27,67.41,25.05,11,30.0
103,103,1,26.630000000000003,36.412,11.5975,5.76,0.04,0.53,4.27,67.41,25.05,12,30.0
104,104,1,26.630000000000003,36.412,11.5975,5.76,0.04,0.53,4.27,67.41,25.05,13,30.0
105,105,1,26.630000000000003,36.412,11.5975,5.76,0.04,0.53,4.27,67.41,25.05,14,30.0
106,106,1,26.630000000000003,36.412,11.5975,5.76,0.04,0.53,4.27,67.41,25.05,8,30.0
107,107,1,26.630000000000003,36.412,11.5975,6.35,0.06,0.61,6.55,79.02,50.03,6,30.0
108,108,1,26.630000000000003,36.412,11.5975,6.35,0.06,0.61,6.55,79.02,50.03,11,30.0
109,109,1,26.630000000000003,36.412,11.5975,6.35,0.06,0.61,6.55,79.02,50.03,12,30.0
110,110,1,26.630000000000003,36.412,11.5975,6.35,0.06,0.61,6.55,79.02,50.03,13,30.0
111,111,1,26.630000000000003,36.412,11.5975,6.35,0.06,0.61,6.55,79.02,50.03,14,30.0
112,112,1,26.630000000000003,36.412,11.5975,6.35,0.06,0.61,6.55,79.02,50.03,8,30.0
113,113,1,26.630000000000003,36.412,11.5975,5.89528,0.03589,0.320227,2.22752,12.9636,16.163,6,30.0
114,114,1,26.630000000000003,36.412,11.5975,5.89528,0.03589,0.320227,2.22752,12.9636,16.163,11,30.0
115,115,1,26.630000000000003,36.412,11.5975,5.89528,0.03589,0.320227,2.22752,12.9636,16.163,12,30.0
116,116,1,26.630000000000003,36.412,11.5975,5.89528,0.03589,0.320227,2.22752,12.9636,16.163,13,30.0
117,117,1,26.630000000000003,36.412,11.5975,5.89528,0.03589,0.320227,2.22752,12.9636,16.163,14,30.0
118,118,1,26.630000000000003,36.412,11.5975,5.89528,0.03589,0.320227,2.22752,12.9636,16.163,8,30.0
119,119,1,26.630000000000003,36.412,11.5975,6.13,0.05,0.5,2.35,97.58,32.95,6,30.0
120,120,1,26.630000000000003,36.412,11.5975,6.13,0.05,0.5,2.35,97.58,32.95,11,30.0
121,121,1,26.630000000000003,36.412,11.5975,6.13,0.05,0.5,2.35,97.58,32.95,12,30.0
122,122,1,26.630000000000003,36.412,11.5975,6.13,0.05,0.5,2.35,97.58,32.95,13,30.0
123,123,1,26.630000000000003,36.412,11.5975,6.13,0.05,0.5,2.35,97.58,32.95,14,30.0
124,124,1,26.630000000000003,36.412,11.5975,6.13,0.05,0.5,2.35,97.58,32.95,8,30.0
125,125,1,26.630000000000003,36.412,11.5975,5.81,0.04,0.9,3.97,77.72,39.69,6,30.0
126,126,1,26.630000000000003,36.412,11.5975,5.81,0.04,0.9,3.97,77.72,39.69,11,30.0
127,127,1,26.630000000000003,36.412,11.5975,5.81,0.04,0.9,3.97,77.72,39.69,12,30.0
128,128,1,26.630000000000003,36.412,11.5975,5.81,0.04,0.9,3.97,77.72,39.69,13,30.0
129,129,1,26.630000000000003,36.412,11.5975,5.81,0.04,0.9,3.97,77.72,39.69,14,30.0
130,130,1,26.630000000000003,36.412,11.5975,5.81,0.04,0.9,3.97,77.72,39.69,8,30.0
131,131,1,26.630000000000003,36.412,11.5975,5.9,0.04,0.49,3.17,57.36,22.82,6,30.0
132,132,1,26.630000000000003,36.412,11.5975,5.9,0.04,0.49,3.17,57.36,22.82,11,30.0
133,133,1,26.630000000000003,36.412,11.5975,5.9,0.04,0.49,3.17,57.36,22.82,12,30.0
134,134,1,26.630000000000003,36.412,11.5975,5.9,0.04,0.49,3.17,57.36,22.82,13,30.0
135,135,1,26.630000000000003,36.412,11.5975,5.9,0.04,0.49,3.17,57.36,22.82,14,30.0
136,136,1,26.630000000000003,36.412,11.5975,5.9,0.04,0.49,3.17,57.36,22.82,8,30.0
137,137,1,26.630000000000003,36.412,11.5975,5.09028,0.040923,0.377963,1.94801,14.4148,20.2452,6,30.0
138,138,1,26.630000000000003,36.412,11.5975,5.09028,0.040923,0.377963,1.94801,14.4148,20.2452,11,30.0
139,139,1,26.630000000000003,36.412,11.5975,5.09028,0.040923,0.377963,1.94801,14.4148,20.2452,12,30.0
140,140,1,26.630000000000003,36.412,11.5975,5.09028,0.040923,0.377963,1.94801,14.4148,20.2452,13,30.0
141,141,1,26.630000000000003,36.412,11.5975,5.09028,0.040923,0.377963,1.94801,14.4148,20.2452,14,30.0
142,142,1,26.630000000000003,36.412,11.5975,5.09028,0.040923,0.377963,1.94801,14.4148,20.2452,8,30.0
143,143,1,26.630000000000003,36.412,11.5975,6.45,0.03,0.36,4.67,74.55,11.78,6,30.0
144,144,1,26.630000000000003,36.412,11.5975,6.45,0.03,0.36,4.67,74.55,11.78,11,30.0
145,145,1,26.630000000000003,36.412,11.5975,6.45,0.03,0.36,4.67,74.55,11.78,12,30.0
146,146,1,26.630000000000003,36.412,11.5975,6.45,0.03,0.36,4.67,74.55,11.78,13,30.0
147,147,1,26.630000000000003,36.412,11.5975,6.45,0.03,0.36,4.67,74.55,11.78,14,30.0
148,148,1,26.630000000000003,36.412,11.5975,6.45,0.03,0.36,4.67,74.55,11.78,8,30.0
149,149,1,26.630000000000003,36.412,11.5975,6.17,0.04,0.5,6.8,63.02,9.97,6,30.0
150,150,1,26.630000000000003,36.412,11.5975,6.17,0.04,0.5,6.8,63.02,9.97,11,30.0
151,151,1,26.630000000000003,36.412,11.5975,6.17,0.04,0.5,6.8,63.02,9.97,12,30.0
152,152,1,26.630000000000003,36.412,11.5975,6.17,0.04,0.5,6.8,63.02,9.97,13,30.0
153,153,1,26.630000000000003,36.412,11.5975,6.17,0.04,0.5,6.8,63.02,9.97,14,30.0
154,154,1,26.630000000000003,36.412,11.5975,6.17,0.04,0.5,6.8,63.02,9.97,8,30.0
155,155,1,26.630000000000003,36.412,11.5975,5.76,0.05,0.54,5.03,75.22,13.31,6,30.0
156,156,1,26.630000000000003,36.412,11.5975,5.76,0.05,0.54,5.03,75.22,13.31,11,30.0
157,157,1,26.630000000000003,36.412,11.5975,5.76,0.05,0.54,5.03,75.22,13.31,12,30.0
158,158,1,26.630000000000003,36.412,11.5975,5.76,0.05,0.54,5.03,75.22,13.31,13,30.0
159,159,1,26.630000000000003,36.412,11.5975,5.76,0.05,0.54,5.03,75.22,13.31,14,30.0
160,160,1,26.630000000000003,36.412,11.5975,5.76,0.05,0.54,5.03,75.22,13.31,8,30.0
161,161,1,26.630000000000003,36.412,11.5975,7.1,0.02,0.3,2.56,92.88,17.84,6,30.0
162,162,1,26.630000000000003,36.412,11.5975,7.1,0.02,0.3,2.56,92.88,17.84,11,30.0
163,163,1,26.630000000000003,36.412,11.5975,7.1,0.02,0.3,2.56,92.88,17.84,12,30.0
164,164,1,26.630000000000003,36.412,11.5975,7.1,0.02,0.3,2.56,92.88,17.84,13,30.0
165,165,1,26.630000000000003,36.412,11.5975,7.1,0.02,0.3,2.56,92.88,17.84,14,30.0
166,166,1,26.630000000000003,36.412,11.5975,7.1,0.02,0.3,2.56,92.88,17.84,8,30.0
167,167,1,26.630000000000003,36.412,11.5975,6.41,0.04,0.45,2.21,120.16,26.48,6,30.0
168,168,1,26.630000000000003,36.412,11.5975,6.41,0.04,0.45,2.21,120.16,26.48,11,30.0
169,169,1,26.630000000000003,36.412,11.5975,6.41,0.04,0.45,2.21,120.16,26.48,12,30.0
170,170,1,26.630000000000003,36.412,11.5975,6.41,0.04,0.45,2.21,120.16,26.48,13,30.0
171,171,1,26.630000000000003,36.412,11.5975,6.41,0.04,0.45,2.21,120.16,26.48,14,30.0
172,172,1,26.630000000000003,36.412,11.5975,6.41,0.04,0.45,2.21,120.16,26.48,8,30.0
173,173,1,26.630000000000003,36.412,11.5975,6.62,0.03,0.49,6.18,64.94,44.8,6,30.0
174,174,1,26.630000000000003,36.412,11.5975,6.62,0.03,0.49,6.18,64.94,44.8,11,30.0
175,175,1,26.630000000000003,36.412,11.5975,6.62,0.03,0.49,6.18,64.94,44.8,12,30.0
176,176,1,26.630000000000003,36.412,11.5975,6.62,0.03,0.49,6.18,64.94,44.8,13,30.0
177,177,1,26.630000000000003,36.412,11.5975,6.62,0.03,0.49,6.18,64.94,44.8,14,30.0
178,178,1,26.630000000000003,36.412,11.5975,6.62,0.03,0.49,6.18,64.94,44.8,8,30.0
179,179,1,26.630000000000003,36.412,11.5975,6.52,0.03,0.42,3.6,159.69,40.85,6,30.0
180,180,1,26.630000000000003,36.412,11.5975,6.52,0.03,0.42,3.6,159.69,40.85,11,30.0
181,181,1,26.630000000000003,36.412,11.5975,6.52,0.03,0.42,3.6,159.69,40.85,12,30.0
182,182,1,26.630000000000003,36.412,11.5975,6.52,0.03,0.42,3.6,159.69,40.85,13,30.0
183,183,1,26.630000000000003,36.412,11.5975,6.52,0.03,0.42,3.6,159.69,40.85,14,30.0
184,184,1,26.630000000000003,36.412,11.5975,6.52,0.03,0.42,3.6,159.69,40.85,8,30.0
185,185,1,26.630000000000003,36.412,11.5975,6.59,0.08,0.78,7.06,177.92,21.38,6,30.0
186,186,1,26.630000000000003,36.412,11.5975,6.59,0.08,0.78,7.06,177.92,21.38,11,30.0
187,187,1,26.630000000000003,36.412,11.5975,6.59,0.08,0.78,7.06,177.92,21.38,12,30.0
188,188,1,26.630000000000003,36.412,11.5975,6.59,0.08,0.78,7.06,177.92,21.38,13,30.0
189,189,1,26.630000000000003,36.412,11.5975,6.59,0.08,0.78,7.06,177.92,21.38,14,30.0
190,190,1,26.630000000000003,36.412,11.5975,6.59,0.08,0.78,7.06,177.92,21.38,8,30.0
191,191,1,26.630000000000003,36.412,11.5975,6.1,0.03,0.41,2.81,74.83,41.33,6,30.0
192,192,1,26.630000000000003,36.412,11.5975,6.1,0.03,0.41,2.81,74.83,41.33,11,30.0
193,193,1,26.630000000000003,36.412,11.5975,6.1,0.03,0.41,2.81,74.83,41.33,12,30.0
194,194,1,26.630000000000003,36.412,11.5975,6.1,0.03,0.41,2.81,74.83,41.33,13,30.0
195,195,1,26.630000000000003,36.412,11.5975,6.1,0.03,0.41,2.81,74.83,41.33,14,30.0
196,196,1,26.630000000000003,36.412,11.5975,6.1,0.03,0.41,2.81,74.83,41.33,8,30.0
197,197,1,26.630000000000003,36.412,11.5975,5.56,0.03,0.54,3.75,121.95,10.74,6,30.0
198,198,1,26.630000000000003,36.412,11.5975,5.56,0.03,0.54,3.75,121.95,10.74,11,30.0
199,199,1,26.630000000000003,36.412,11.5975,5.56,0.03,0.54,3.75,121.95,10.74,12,30.0
200,200,1,26.630000000000003,36.412,11.5975,5.56,0.03,0.54,3.75,121.95,10.74,13,30.0
201,201,1,26.630000000000003,36.412,11.5975,5.56,0.03,0.54,3.75,121.95,10.74,14,30.0
202,202,1,26.630000000000003,36.412,11.5975,5.56,0.03,0.54,3.75,121.95,10.74,8,30.0
203,203,1,26.630000000000003,36.412,11.5975,6.42,0.06,0.86,5.66,88.46,15.89,6,10.0
204,204,1,26.630000000000003,36.412,11.5975,6.42,0.06,0.86,5.66,88.46,15.89,11,10.0
205,205,1,26.630000000000003,36.412,11.5975,6.42,0.06,0.86,5.66,88.46,15.89,12,10.0
206,206,1,26.630000000000003,36.412,11.5975,6.42,0.06,0.86,5.66,88.46,15.89,13,10.0
207,207,1,26.630000000000003,36.412,11.5975,6.42,0.06,0.86,5.66,88.46,15.89,14,10.0
208,208,1,26.630000000000003,36.412,11.5975,6.42,0.06,0.86,5.66,88.46,15.89,8,10.0
209,209,1,26.630000000000003,36.412,11.5975,5.89,0.04,0.48,6.89,53.13,12.93,6,10.0
210,210,1,26.630000000000003,36.412,11.5975,5.89,0.04,0.48,6.89,53.13,12.93,11,10.0
211,211,1,26.630000000000003,36.412,11.5975,5.89,0.04,0.48,6.89,53.13,12.93,12,10.0
212,212,1,26.630000000000003,36.412,11.5975,5.89,0.04,0.48,6.89,53.13,12.93,13,10.0
213,213,1,26.630000000000003,36.412,11.5975,5.89,0.04,0.48,6.89,53.13,12.93,14,10.0
214,214,1,26.630000000000003,36.412,11.5975,5.89,0.04,0.48,6.89,53.13,12.93,8,10.0
215,215,1,26.630000000000003,36.412,11.5975,6.50143,0.091947,1.75246,12.6039,167.794,23.2356,6,10.0
216,216,1,26.630000000000003,36.412,11.5975,6.50143,0.091947,1.75246,12.6039,167.794,23.2356,11,10.0
217,217,1,26.630000000000003,36.412,11.5975,6.50143,0.091947,1.75246,12.6039,167.794,23.2356,12,10.0
218,218,1,26.630000000000003,36.412,11.5975,6.50143,0.091947,1.75246,12.6039,167.794,23.2356,13,10.0
219,219,1,26.630000000000003,36.412,11.5975,6.50143,0.091947,1.75246,12.6039,167.794,23.2356,14,10.0
220,220,1,26.630000000000003,36.412,11.5975,6.50143,0.091947,1.75246,12.6039,167.794,23.2356,8,10.0
221,221,1,26.630000000000003,36.412,11.5975,6.42,0.06,1.14,14.32,92.52,14.9,6,10.0
222,222,1,26.630000000000003,36.412,11.5975,6.42,0.06,1.14,14.32,92.52,14.9,11,10.0
223,223,1,26.630000000000003,36.412,11.5975,6.42,0.06,1.14,14.32,92.52,14.9,12,10.0
224,224,1,26.630000000000003,36.412,11.5975,6.42,0.06,1.14,14.32,92.52,14.9,13,10.0
225,225,1,26.630000000000003,36.412,11.5975,6.42,0.06,1.14,14.32,92.52,14.9,14,10.0
226,226,1,26.630000000000003,36.412,11.5975,6.42,0.06,1.14,14.32,92.52,14.9,8,10.0
227,227,1,26.630000000000003,36.412,11.5975,5.84647,0.048634,0.608248,5.62354,12.1458,25.4645,6,10.0
228,228,1,26.630000000000003,36.412,11.5975,5.84647,0.048634,0.608248,5.62354,12.1458,25.4645,11,10.0
229,229,1,26.630000000000003,36.412,11.5975,5.84647,0.048634,0.608248,5.62354,12.1458,25.4645,12,10.0
230,230,1,26.630000000000003,36.412,11.5975,5.84647,0.048634,0.608248,5.62354,12.1458,25.4645,13,10.0
231,231,1,26.630000000000003,36.412,11.5975,5.84647,0.048634,0.608248,5.62354,12.1458,25.4645,14,10.0
232,232,1,26.630000000000003,36.412,11.5975,5.84647,0.048634,0.608248,5.62354,12.1458,25.4645,8,10.0
233,233,1,26.630000000000003,36.412,11.5975,5.99718,0.029055,0.432356,3.74881,27.8462,14.9781,6,10.0
234,234,1,26.630000000000003,36.412,11.5975,5.99718,0.029055,0.432356,3.74881,27.8462,14.9781,11,10.0
235,235,1,26.630000000000003,36.412,11.5975,5.99718,0.029055,0.432356,3.74881,27.8462,14.9781,12,10.0
236,236,1,26.630000000000003,36.412,11.5975,5.99718,0.029055,0.432356,3.74881,27.8462,14.9781,13,10.0
237,237,1,26.630000000000003,36.412,11.5975,5.99718,0.029055,0.432356,3.74881,27.8462,14.9781,14,10.0
238,238,1,26.630000000000003,36.412,11.5975,5.99718,0.029055,0.432356,3.74881,27.8462,14.9781,8,10.0
239,239,1,26.630000000000003,36.412,11.5975,5.9,0.03,0.39,2.29,102.09,16.82,6,10.0
240,240,1,26.630000000000003,36.412,11.5975,5.9,0.03,0.39,2.29,102.09,16.82,11,10.0
241,241,1,26.630000000000003,36.412,11.5975,5.9,0.03,0.39,2.29,102.09,16.82,12,10.0
242,242,1,26.630000000000003,36.412,11.5975,5.9,0.03,0.39,2.29,102.09,16.82,13,10.0
243,243,1,26.630000000000003,36.412,11.5975,5.9,0.03,0.39,2.29,102.09,16.82,14,10.0
244,244,1,26.630000000000003,36.412,11.5975,5.9,0.03,0.39,2.29,102.09,16.82,8,10.0
245,245,1,26.630000000000003,36.412,11.5975,5.71946,0.052515,0.555042,3.92142,15.8687,10.5287,6,10.0
246,246,1,26.630000000000003,36.412,11.5975,5.71946,0.052515,0.555042,3.92142,15.8687,10.5287,11,10.0
247,247,1,26.630000000000003,36.412,11.5975,5.71946,0.052515,0.555042,3.92142,15.8687,10.5287,12,10.0
248,248,1,26.630000000000003,36.412,11.5975,5.71946,0.052515,0.555042,3.92142,15.8687,10.5287,13,10.0
249,249,1,26.630000000000003,36.412,11.5975,5.71946,0.052515,0.555042,3.92142,15.8687,10.5287,14,10.0
250,250,1,26.630000000000003,36.412,11.5975,5.71946,0.052515,0.555042,3.92142,15.8687,10.5287,8,10.0
