,index,state,rainfall,temperature,mean_humidity,mean_rainfall,Farm,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe,VEGETATION,MAJOR_CROP,slope,avg_depth,avg_soil_ph
30,30,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,8,2.0,10.0,5.5
31,31,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,9,2.0,10.0,5.5
32,32,0,683.6,27.48,35.973,11.306000000000001,0,6.16546,0.051261,0.934983,7.37076,344.286,166.463,92.1612,12.168,1.38928,1.0508,92.8439,91.5145,0,10,2.0,10.0,5.5
33,33,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,0,2.0,10.0,5.5
34,34,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,1,2.0,10.0,5.5
35,35,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,2,2.0,10.0,5.5
36,36,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,3,2.0,10.0,5.5
37,37,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,4,2.0,10.0,5.5
38,38,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,5,2.0,10.0,5.5
39,39,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,6,2.0,10.0,5.5
40,40,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,7,2.0,10.0,5.5
41,41,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,8,2.0,10.0,5.5
42,42,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,9,2.0,10.0,5.5
43,43,0,683.6,27.48,35.973,11.306000000000001,0,5.85875,0.149079,1.54355,10.3367,323.415,208.632,100.425,11.7062,1.62687,0.931325,52.7703,169.748,0,10,2.0,10.0,5.5
44,44,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,0,2.0,10.0,5.5
45,45,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,1,2.0,10.0,5.5
46,46,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,2,2.0,10.0,5.5
47,47,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,3,2.0,10.0,5.5
48,48,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,4,2.0,10.0,5.5
49,49,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,5,2.0,10.0,5.5
50,50,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,6,2.0,10.0,5.5
51,51,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,7,2.0,10.0,5.5
52,52,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,8,2.0,10.0,5.5
53,53,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,9,2.0,10.0,5.5
54,54,0,683.6,27.48,35.973,11.306000000000001,0,6.17769,0.155088,2.09783,5.06852,466.306,162.616,113.926,12.757,2.22424,1.18117,126.663,160.019,0,10,2.0,10.0,5.5
55,55,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,0,2.0,10.0,5.5
56,56,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,1,2.0,10.0,5.5
57,57,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,2,2.0,10.0,5.5
58,58,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,3,2.0,10.0,5.5
59,59,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,4,2.0,10.0,5.5
60,60,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,5,2.0,10.0,5.5
61,61,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,6,2.0,10.0,5.5
62,62,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,7,2.0,10.0,5.5
63,63,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,8,2.0,10.0,5.5
64,64,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,9,2.0,10.0,5.5
65,65,0,683.6,27.48,35.973,11.306000000000001,0,6.00605,0.153446,1.77246,8.27453,415.362,240.473,99.9084,15.1337,2.12723,1.18682,92.7834,140.803,0,10,2.0,10.0,5.5
66,66,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,0,2.0,10.0,5.5
67,67,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,1,2.0,10.0,5.5
68,68,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,2,2.0,10.0,5.5
69,69,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,3,2.0,10.0,5.5
70,70,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,4,2.0,10.0,5.5
71,71,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,5,2.0,10.0,5.5
72,72,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,6,2.0,10.0,5.5
73,73,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,7,2.0,10.0,5.5
74,74,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,8,2.0,10.0,5.5
75,75,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,9,2.0,10.0,5.5
76,76,0,683.6,27.48,35.973,11.306000000000001,0,6.51944,0.085063,1.05551,6.57978,349.311,177.237,102.174,12.8866,1.49065,1.21409,107.274,157.948,0,10,2.0,10.0,5.5
77,77,1,695.9,26.630000000000003,36.412,11.5975,1,6.27,0.04,0.57,1.97,331.93,126.49,54.74,29.74,1.18,1.11,39.42,156.9,1,6,2.0,30.0,7.0
78,78,1,695.9,26.630000000000003,36.412,11.5975,1,6.27,0.04,0.57,1.97,331.93,126.49,54.74,29.74,1.18,1.11,39.42,156.9,1,11,2.0,30.0,7.0
79,79,1,695.9,26.630000000000003,36.412,11.5975,1,6.27,0.04,0.57,1.97,331.93,126.49,54.74,29.74,1.18,1.11,39.42,156.9,1,12,2.0,30.0,7.0
80,80,1,695.9,26.630000000000003,36.412,11.5975,1,6.27,0.04,0.57,1.97,331.93,126.49,54.74,29.74,1.18,1.11,39.42,156.9,1,13,2.0,30.0,7.0
81,81,1,695.9,26.630000000000003,36.412,11.5975,1,6.27,0.04,0.57,1.97,331.93,126.49,54.74,29.74,1.18,1.11,39.42,156.9,1,14,2.0,30.0,7.0
82,82,1,695.9,26.630000000000003,36.412,11.5975,1,6.27,0.04,0.57,1.97,331.93,126.49,54.74,29.74,1.18,1.11,39.42,156.9,1,8,2.0,30.0,7.0
83,83,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.03,0.35,5.26,207.48,95.63,61.41,13.17,0.9,0.76,74.42,86.31,1,6,2.0,30.0,7.0
84,84,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.03,0.35,5.26,207.48,95.63,61.41,13.17,0.9,0.76,74.42,86.31,1,11,2.0,30.0,7.0
85,85,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.03,0.35,5.26,207.48,95.63,61.41,13.17,0.9,0.76,74.42,86.31,1,12,2.0,30.0,7.0
86,86,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.03,0.35,5.26,207.48,95.63,61.41,13.17,0.9,0.76,74.42,86.31,1,13,2.0,30.0,7.0
87,87,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.03,0.35,5.26,207.48,95.63,61.41,13.17,0.9,0.76,74.42,86.31,1,14,2.0,30.0,7.0
88,88,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.03,0.35,5.26,207.48,95.63,61.41,13.17,0.9,0.76,74.42,86.31,1,8,2.0,30.0,7.0
89,89,1,695.9,26.630000000000003,36.412,11.5975,1,6.73,0.07,0.83,8.62,659.82,249.6,138.91,15.62,1.98,1.82,107.05,98.38,1,6,2.0,30.0,7.0
90,90,1,695.9,26.630000000000003,36.412,11.5975,1,6.73,0.07,0.83,8.62,659.82,249.6,138.91,15.62,1.98,1.82,107.05,98.38,1,11,2.0,30.0,7.0
91,91,1,695.9,26.630000000000003,36.412,11.5975,1,6.73,0.07,0.83,8.62,659.82,249.6,138.91,15.62,1.98,1.82,107.05,98.38,1,12,2.0,30.0,7.0
92,92,1,695.9,26.630000000000003,36.412,11.5975,1,6.73,0.07,0.83,8.62,659.82,249.6,138.91,15.62,1.98,1.82,107.05,98.38,1,13,2.0,30.0,7.0
93,93,1,695.9,26.630000000000003,36.412,11.5975,1,6.73,0.07,0.83,8.62,659.82,249.6,138.91,15.62,1.98,1.82,107.05,98.38,1,14,2.0,30.0,7.0
94,94,1,695.9,26.630000000000003,36.412,11.5975,1,6.73,0.07,0.83,8.62,659.82,249.6,138.91,15.62,1.98,1.82,107.05,98.38,1,8,2.0,30.0,7.0
95,95,1,695.9,26.630000000000003,36.412,11.5975,1,5.60539,0.041957,0.317277,5.32044,107.026,44.7844,26.502,12.3742,0.82279,1.45478,42.1133,196.188,1,6,2.0,30.0,7.0
96,96,1,695.9,26.630000000000003,36.412,11.5975,1,5.60539,0.041957,0.317277,5.32044,107.026,44.7844,26.502,12.3742,0.82279,1.45478,42.1133,196.188,1,11,2.0,30.0,7.0
97,97,1,695.9,26.630000000000003,36.412,11.5975,1,5.60539,0.041957,0.317277,5.32044,107.026,44.7844,26.502,12.3742,0.82279,1.45478,42.1133,196.188,1,12,2.0,30.0,7.0
98,98,1,695.9,26.630000000000003,36.412,11.5975,1,5.60539,0.041957,0.317277,5.32044,107.026,44.7844,26.502,12.3742,0.82279,1.45478,42.1133,196.188,1,13,2.0,30.0,7.0
99,99,1,695.9,26.630000000000003,36.412,11.5975,1,5.60539,0.041957,0.317277,5.32044,107.026,44.7844,26.502,12.3742,0.82279,1.45478,42.1133,196.188,1,14,2.0,30.0,7.0
100,100,1,695.9,26.630000000000003,36.412,11.5975,1,5.60539,0.041957,0.317277,5.32044,107.026,44.7844,26.502,12.3742,0.82279,1.45478,42.1133,196.188,1,8,2.0,30.0,7.0
101,101,1,695.9,26.630000000000003,36.412,11.5975,1,5.76,0.04,0.53,4.27,177.29,103.45,67.41,25.05,0.99,0.84,42.91,125.86,1,6,2.0,30.0,7.0
102,102,1,695.9,26.630000000000003,36.412,11.5975,1,5.76,0.04,0.53,4.27,177.29,103.45,67.41,25.05,0.99,0.84,42.91,125.86,1,11,2.0,30.0,7.0
103,103,1,695.9,26.630000000000003,36.412,11.5975,1,5.76,0.04,0.53,4.27,177.29,103.45,67.41,25.05,0.99,0.84,42.91,125.86,1,12,2.0,30.0,7.0
104,104,1,695.9,26.630000000000003,36.412,11.5975,1,5.76,0.04,0.53,4.27,177.29,103.45,67.41,25.05,0.99,0.84,42.91,125.86,1,13,2.0,30.0,7.0
105,105,1,695.9,26.630000000000003,36.412,11.5975,1,5.76,0.04,0.53,4.27,177.29,103.45,67.41,25.05,0.99,0.84,42.91,125.86,1,14,2.0,30.0,7.0
106,106,1,695.9,26.630000000000003,36.412,11.5975,1,5.76,0.04,0.53,4.27,177.29,103.45,67.41,25.05,0.99,0.84,42.91,125.86,1,8,2.0,30.0,7.0
107,107,1,695.9,26.630000000000003,36.412,11.5975,1,6.35,0.06,0.61,6.55,522.63,129.79,79.02,50.03,0.83,1.36,87.4,182.9,1,6,2.0,30.0,7.0
108,108,1,695.9,26.630000000000003,36.412,11.5975,1,6.35,0.06,0.61,6.55,522.63,129.79,79.02,50.03,0.83,1.36,87.4,182.9,1,11,2.0,30.0,7.0
109,109,1,695.9,26.630000000000003,36.412,11.5975,1,6.35,0.06,0.61,6.55,522.63,129.79,79.02,50.03,0.83,1.36,87.4,182.9,1,12,2.0,30.0,7.0
110,110,1,695.9,26.630000000000003,36.412,11.5975,1,6.35,0.06,0.61,6.55,522.63,129.79,79.02,50.03,0.83,1.36,87.4,182.9,1,13,2.0,30.0,7.0
111,111,1,695.9,26.630000000000003,36.412,11.5975,1,6.35,0.06,0.61,6.55,522.63,129.79,79.02,50.03,0.83,1.36,87.4,182.9,1,14,2.0,30.0,7.0
112,112,1,695.9,26.630000000000003,36.412,11.5975,1,6.35,0.06,0.61,6.55,522.63,129.79,79.02,50.03,0.83,1.36,87.4,182.9,1,8,2.0,30.0,7.0
113,113,1,695.9,26.630000000000003,36.412,11.5975,1,5.89528,0.03589,0.320227,2.22752,37.7576,47.9236,12.9636,16.163,0.726296,1.21978,52.1964,170.866,1,6,2.0,30.0,7.0
114,114,1,695.9,26.630000000000003,36.412,11.5975,1,5.89528,0.03589,0.320227,2.22752,37.7576,47.9236,12.9636,16.163,0.726296,1.21978,52.1964,170.866,1,11,2.0,30.0,7.0
115,115,1,695.9,26.630000000000003,36.412,11.5975,1,5.89528,0.03589,0.320227,2.22752,37.7576,47.9236,12.9636,16.163,0.726296,1.21978,52.1964,170.866,1,12,2.0,30.0,7.0
116,116,1,695.9,26.630000000000003,36.412,11.5975,1,5.89528,0.03589,0.320227,2.22752,37.7576,47.9236,12.9636,16.163,0.726296,1.21978,52.1964,170.866,1,13,2.0,30.0,7.0
117,117,1,695.9,26.630000000000003,36.412,11.5975,1,5.89528,0.03589,0.320227,2.22752,37.7576,47.9236,12.9636,16.163,0.726296,1.21978,52.1964,170.866,1,14,2.0,30.0,7.0
118,118,1,695.9,26.630000000000003,36.412,11.5975,1,5.89528,0.03589,0.320227,2.22752,37.7576,47.9236,12.9636,16.163,0.726296,1.21978,52.1964,170.866,1,8,2.0,30.0,7.0
119,119,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.05,0.5,2.35,301.35,249.52,97.58,32.95,1.13,1.46,81.11,150.88,1,6,2.0,30.0,7.0
120,120,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.05,0.5,2.35,301.35,249.52,97.58,32.95,1.13,1.46,81.11,150.88,1,11,2.0,30.0,7.0
121,121,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.05,0.5,2.35,301.35,249.52,97.58,32.95,1.13,1.46,81.11,150.88,1,12,2.0,30.0,7.0
122,122,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.05,0.5,2.35,301.35,249.52,97.58,32.95,1.13,1.46,81.11,150.88,1,13,2.0,30.0,7.0
123,123,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.05,0.5,2.35,301.35,249.52,97.58,32.95,1.13,1.46,81.11,150.88,1,14,2.0,30.0,7.0
124,124,1,695.9,26.630000000000003,36.412,11.5975,1,6.13,0.05,0.5,2.35,301.35,249.52,97.58,32.95,1.13,1.46,81.11,150.88,1,8,2.0,30.0,7.0
125,125,1,695.9,26.630000000000003,36.412,11.5975,1,5.81,0.04,0.9,3.97,417.21,135.58,77.72,39.69,0.97,1.17,45.64,129.83,1,6,2.0,30.0,7.0
126,126,1,695.9,26.630000000000003,36.412,11.5975,1,5.81,0.04,0.9,3.97,417.21,135.58,77.72,39.69,0.97,1.17,45.64,129.83,1,11,2.0,30.0,7.0
127,127,1,695.9,26.630000000000003,36.412,11.5975,1,5.81,0.04,0.9,3.97,417.21,135.58,77.72,39.69,0.97,1.17,45.64,129.83,1,12,2.0,30.0,7.0
128,128,1,695.9,26.630000000000003,36.412,11.5975,1,5.81,0.04,0.9,3.97,417.21,135.58,77.72,39.69,0.97,1.17,45.64,129.83,1,13,2.0,30.0,7.0
129,129,1,695.9,26.630000000000003,36.412,11.5975,1,5.81,0.04,0.9,3.97,417.21,135.58,77.72,39.69,0.97,1.17,45.64,129.83,1,14,2.0,30.0,7.0
130,130,1,695.9,26.630000000000003,36.412,11.5975,1,5.81,0.04,0.9,3.97,417.21,135.58,77.72,39.69,0.97,1.17,45.64,129.83,1,8,2.0,30.0,7.0
131,131,1,695.9,26.630000000000003,36.412,11.5975,1,5.9,0.04,0.49,3.17,267.35,122.16,57.36,22.82,1.18,0.65,38.23,120.01,1,6,2.0,30.0,7.0
132,132,1,695.9,26.630000000000003,36.412,11.5975,1,5.9,0.04,0.49,3.17,267.35,122.16,57.36,22.82,1.18,0.65,38.23,120.01,1,11,2.0,30.0,7.0
133,133,1,695.9,26.630000000000003,36.412,11.5975,1,5.9,0.04,0.49,3.17,267.35,122.16,57.36,22.82,1.18,0.65,38.23,120.01,1,12,2.0,30.0,7.0
134,134,1,695.9,26.630000000000003,36.412,11.5975,1,5.9,0.04,0.49,3.17,267.35,122.16,57.36,22.82,1.18,0.65,38.23,120.01,1,13,2.0,30.0,7.0
135,135,1,695.9,26.630000000000003,36.412,11.5975,1,5.9,0.04,0.49,3.17,267.35,122.16,57.36,22.82,1.18,0.65,38.23,120.01,1,14,2.0,30.0,7.0
136,136,1,695.9,26.630000000000003,36.412,11.5975,1,5.9,0.04,0.49,3.17,267.35,122.16,57.36,22.82,1.18,0.65,38.23,120.01,1,8,2.0,30.0,7.0
137,137,1,695.9,26.630000000000003,36.412,11.5975,1,5.09028,0.040923,0.377963,1.94801,49.2716,80.1999,14.4148,20.2452,0.762856,2.00155,54.7948,181.582,1,6,2.0,30.0,7.0
138,138,1,695.9,26.630000000000003,36.412,11.5975,1,5.09028,0.040923,0.377963,1.94801,49.2716,80.1999,14.4148,20.2452,0.762856,2.00155,54.7948,181.582,1,11,2.0,30.0,7.0
139,139,1,695.9,26.630000000000003,36.412,11.5975,1,5.09028,0.040923,0.377963,1.94801,49.2716,80.1999,14.4148,20.2452,0.762856,2.00155,54.7948,181.582,1,12,2.0,30.0,7.0
